Unnamed: 0,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein
392,drum raw,236,9.8,0,0,34.7
393,atlantic croaker fried,192,11,6.6,0,15.8
394,pumpkin seed sunfish cooked,42,0.3,0,0,9.2
395,wolffish raw,294,7.3,0,0,53.6
396,bluefin tuna cooked,276,9.4,0,0,44.9
397,scup cooked,68,1.8,0,0,12.1
398,herring cooked,290,16.6,0,0,32.9
399,bluefish raw,186,6.4,0,0,30.1
400,sheepshead cooked,234,3,0,0,48.4
401,bass cooked,91,2.9,0,0,15
402,pout cooked,279,3.2,0,0,58.4
403,chinook salmon raw,709,41.3,0,0,78.9
404,rockfish raw,172,2.6,0,0,35.1
405,tilefish raw,371,8.9,0,0,67.6
406,scup raw,174,4.5,0,0,31.3
407,sablefish cooked,755,59.3,0,0,51.9
408,tuna salad,383,19,19.3,0,32.9
409,coho salmon cooked,255,11.8,0,0,34.7
410,roe raw,20,0.9,0.2,0,3.1
411,sea bass raw,125,2.6,0,0,23.8
412,pink salmon cooked,349,12,0,0,56
413,sockeye salmon cooked,493,17.3,0,0,82.1
414,whitefish raw,265,11.6,0,0,37.8
415,greenland halibut cooked,760,56.4,0,0,58.6
416,northern pike cooked,350,2.7,0,0,76.5
417,salmon raw,824,53.1,0,0,80.9
418,turbot cooked,388,12,0,0,65.4
419,surimi,28,0.3,1.9,0,4.3
420,chinook salmon cooked,711,41.2,0,0,79.2
421,mullet cooked,140,4.5,0,0,23.1
422,chum salmon raw,3,0.1,0,0,0.6
423,butterfish raw,47,2.6,0,0,5.5
424,sea bass cooked,125,2.6,0,0,23.9
425,greenland halibut raw,759,56.5,0,0,58.6
426,halibut raw,371,5.4,0,0,75.7
427,sturgeon cooked,184,7,0,0,28.2
428,fish fillet fried,211,11.2,15.4,0,13.3
429,rainbow trout raw,111,4.9,0,0,15.8
430,pout raw,278,3.2,0,0,58.6
431,rainbow smelt cooked,35,0.9,0,0,6.4
432,monkfish raw,22,0.4,0,0,4.1
433,trout raw,117,5.2,0,0,16.4
434,shark raw,37,1.3,0,0,5.9
435,burbot raw,104,0.9,0,0,22.4
436,dolphinfish cooked,173,1.4,0,0,37.7
437,crayfish cooked,25,0.4,0,0,5
438,dolphinfish raw,173,1.4,0,0,37.7
439,perch cooked,54,0.5,0,0,11.4
440,cusk raw,106,0.8,0,0,23.2
441,bluefin tuna raw,41,1.4,0,0,6.6
442,milkfish cooked,54,2.4,0,0,7.4
443,carp raw,277,12.2,0,0,38.9
444,sturgeon raw,30,1.1,0,0,4.6
445,orange roughy raw,22,0.2,0,0,4.6
446,catfish fried,199,11.6,7,0,15.7
447,cuttlefish raw,22,0.2,0.2,0,4.6
448,bass raw,90,2.9,0,0,14.9
449,flounder cooked,109,3,0,0,19.4
450,milkfish raw,42,1.9,0,0,5.8
451,eel raw,375,23.8,0,0,37.6
452,catfish raw,189,9.4,0,0,24.2
453,fish sticks,78,4.5,6.1,0.5,3.1
454,coho salmon raw,254,12.2,0,0,33.8
455,monkfish cooked,27,0.6,0,0,5.3
456,yellowtail cooked,546,19.6,0,0,86.6
457,yellowfin tuna cooked,37,0.2,0,0,8.2
458,ling cooked,168,1.2,0,0,36.8
459,eel cooked,67,4.2,0,0,6.7
460,sablefish raw,753,59.1,0,0,51.8
461,salmon nuggets,60,3.3,4,0,3.6
462,yellowtail raw,546,19.6,0,0,86.5
463,butterfish cooked,47,2.6,0,0,5.5
464,caviar,42,2.9,0.6,0,3.9
465,pollock raw,355,3.8,0,0,75
466,catfish cooked,206,10.3,0,0,26.4
467,whiting raw,83,1.2,0,0,16.8
468,pink salmon raw,404,14,0,0,65.2
469,yellowfin tuna raw,31,0.1,0,0,6.9
470,mackerel raw,230,15.6,0,0,20.8
471,turbot raw,388,12,0,0,65.5
472,cusk cooked,106,0.8,0,0,23.1
473,atlantic croaker raw,82,2.5,0,0,14
474,sucker cooked,148,3.7,0,0,26.6
475,spot raw,79,3.1,0,0,11.8
476,drum cooked,236,9.7,0,0,34.6
477,crayfish raw,3,0.048,0,0,0.6
478,tilefish cooked,441,14.1,0,0,73.5
479,bluefish cooked,186,6.4,0,0,30.1
480,grouper cooked,238,2.6,0,0,50.2
481,sheepshead raw,257,5.7,0,0,48.1
482,herring kippered,87,4.9,0,0,9.8
483,grouper raw,238,2.6,0,0,50.2
484,ocean perch cooked,48,0.9,0,0,9.3
485,ling raw,168,1.2,0,0,36.7
486,lingcod cooked,329,4.1,0,0,68.4
487,florida pompano raw,184,10.6,0,0,20.7
488,rockfish cooked,162,2.4,0,0,33.1
489,seatrout cooked,247,8.6,0,0,39.9
490,sockeye salmon raw,562,22.2,0,0,84.4
491,swordfish cooked,182,8.4,0,0,24.9
492,american shad raw,362,25.3,0,0,31.2
493,sardine canned in oil,310,17.1,0,0,36.7
494,anchovy canned in oil,8,0.4,0,0,1.2
495,salmon canned,520,20.3,0,0,79.1
496,sardines in tomato sauce canned,165,9.3,0.5,0.4,18.6
497,sockeye salmon canned,563,24.9,0,0,79.5
498,tuna canned,102,2.4,0,0,18.9
499,pink salmon canned,530,20.4,0,0,80.9
500,cod canned,328,2.7,0,0,71
501,eastern oyster canned,110,4,6.3,0,11.4
502,chum salmon canned,520,20.3,0,0,79.1
503,tuna canned in oil,331,14.4,0,0,47.2
504,wild pink salmon oceans,320,16,0,0,0
505,shrimp canned,128,1.7,0,0,26.1
506,alaska king crab raw,144,1,0,0,31.5
507,scallops fried,64,3.2,6.4,0,2.6
508,shrimp cooked,7,0.092,0.013,0,1.3
509,clams fried,19,1,1,0,1.3
510,alaska king crab cooked,130,2.1,0,0,25.9
511,scallops cooked,11,0.058,0.5,0,2.1
512,squid fried,140,6,6.2,0,14.4
513,oyster raw,41,1.2,2.5,0,4.7
514,abalone,89,0.6,5.1,0,14.5
515,queen crab raw,25,0.3,0,0,5.2
516,whelk cooked,78,0.2,4.4,0,13.5
517,oyster cooked,41,1.2,2.5,0,4.7
518,eastern oyster cooked,8,0.2,0.7,0,0.7
519,blue mussels cooked,344,9,14.8,0,47.6
520,octopus raw,23,0.3,0.6,0,4.2
521,spiny lobster cooked,233,3.2,5.1,0,43
522,blue mussels raw,129,3.4,5.5,0,17.9
523,queen crab cooked,98,1.3,0,0,20.2
524,dungeness crab cooked,140,1.6,1.2,0,28.3
525,dungeness crab raw,140,1.6,1.2,0,28.4
526,shrimp fried,52,3.2,4.8,0.086,1.3
527,shrimp raw,4,0.023,0.041,0,0.7
528,blue crab cooked,71,0.6,0,0,15.2
529,shrimp imitation,29,0.4,2.6,0,3.5
530,conch baked,165,1.5,2.2,0,33.4
531,squid raw,26,0.4,0.9,0,4.4
532,scallop raw,10,0.091,0.5,0,1.8
533,lobster raw,116,1.1,0,0,24.8
534,scallop imitation,28,0.1,3,0,3.6
535,blue crab raw,18,0.2,0.018,0,3.8
536,whelk raw,39,0.1,2.2,0,6.7
537,spiny lobster raw,234,3.2,5.1,0,43.1
538,clams canned,227,2.5,9.4,0,38.8
539,lobster cooked,134,1.3,0,0,28.5
540,eastern oyster fried,29,1.8,1.7,0,1.3
541,clams raw,195,2.2,8.1,0,33.3
542,octopus cooked,139,1.8,3.7,0,25.3
543,eastern oyster raw,8,0.2,0.8,0,0.7
544,oyster fried,61,3,6.7,0,2.1
545,sturgeon smoked,49,1.2,0,0,8.8
546,chinook salmon smoked,159,5.9,0,0,24.9
547,cisco smoked,50,3.4,0,0,4.6
548,haddock smoked,33,0.3,0,0,7.1
549,whitefish smoked,147,1.3,0,0,31.8
550,red salmon sockeye filets smoked,373,12.3,0,0,65.5
