Unnamed: 0,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein
246,split pea soup,180,2.3,29.9,12.8,9.7
247,escarole soup,61,4,4,0,3.4
248,chicken stock,86,2.9,8.5,3.8,6
249,tomato bisque soup,248,5,47.7,0,4.5
250,shark fin soup,99,4.3,8.2,0,6.9
251,onion soup,113,3.5,16.4,6.7,7.5
252,chicken gumbo soup,113,2.9,16.8,4.9,5.3
253,crab soup,95,0.8,12.5,0,10.4
254,tripe soup,148,5.2,8.1,0,17.2
255,little india little lunch,164,10.6,2,0,0
256,original chicken sandwich chick fil a,125,5.1,0,0,0
257,sausage mcmuffin mcdonalds,383,24.2,28.2,2.2,14.6
258,sausage mcgriddles mcdonalds,421,24,42.2,15.2,11.4
259,crispy chicken drumstick kentucky fried chicken,70,3,0,0,10.6
260,chicken crispy drumsticks kentucky fried chicken,156,10.1,4.5,0,11.8
261,biscuit kentucky fried chicken,185,9.1,22.1,1.7,3.8
262,english muffin mcdonalds,97,2.3,2.9,1.5,5.7
263,french fries mcdonalds,378,18.1,49.8,0.2,4
264,hotdog,383,23,28.5,0,16.4
265,french fries burger king,207,9.2,28.6,0.4,2.4
266,original taco with beef cheese lettuce taco bell,158,8.8,13.7,0.6,6.1
267,hotdog with chili,296,13.4,31.3,0,13.5
268,chicken crispy wings kentucky fried chicken,148,10.1,5.1,0,9.2
269,egg white delight mcdonalds,250,16,0,0,0
270,french toast sticks burger king,73,3.7,8.7,2.1,1.3
271,mcchicken mcdonalds,358,17.3,36.6,4.7,13.7
272,nachos supreme taco bell,480,26.6,45,0,14.8
273,crispy chicken wing kentucky fried chicken,104,5.3,1.3,0,12.6
274,chicken strips burger king,105,5.5,7.4,0,6.6
275,crispy chicken breast kentucky fried chicken,214,6.7,0.4,0,38.2
276,sausage biscuit mcdonalds,440,29.7,31.8,2.3,11.3
